"";"Dim.1";"Dim.2";"Dim.3";"Dim.4";"Dim.5"
"p_AT3G21720.1";-0.74;-0.12;-0.2;0.48;0.06
"p_AT3G22110.1";-0.4;0.49;0.15;0.02;0.04
"p_AT3G22200.1";-0.41;0.72;0.09;-0.08;-0.24
"p_AT3G22490.1";-0.54;0.11;0.42;-0.43;0.3
"p_AT3G22500.1";-0.37;-0.21;0.48;0.22;-0.09
"p_AT3G23400.1";-0.35;0.74;0.29;-0.18;0.16
"p_AT3G23490.1";0.72;-0.49;0.12;0.03;-0.01
"p_AT3G23570.1";0.7;0.3;0.31;0.13;-0.37
"p_AT3G23940.1";0;-0.13;0.71;-0.26;0
"p_AT3G25230.1";-0.45;0.04;0.55;0.16;-0.38
"p_AT3G26650.1";0;0.45;0.38;-0.34;0.56
"p_AT3G26720.1";-0.36;-0.12;0.14;-0.41;-0.17
"p_AT3G27660.1";0.58;0.34;0.3;0.16;-0.11
"p_AT3G44300.1";-0.29;0.79;0.2;-0.1;0.2
"p_AT3G44880.1";0.5;0.51;0.42;-0.4;0.17
"p_AT3G47520.1";0.39;0.59;0.29;-0.43;0.15
"p_AT3G48000.1";-0.49;0.79;-0.09;-0.13;-0.01
"p_AT3G48990.1";-0.75;-0.18;0.22;0.16;0.22
"p_AT3G49910.1";-0.62;0.11;0.17;0.17;0
"p_AT3G51800.1";-0.55;-0.2;-0.1;0.2;0.33
"p_AT3G51810.1";0.72;0.48;0.28;0.07;-0.21
"p_AT3G52850.1";0.2;-0.63;0.32;-0.32;-0.07
"p_AT3G52930.1";0.92;0.04;0.06;-0.17;0.1
"p_AT3G52960.1";0.1;-0.19;-0.18;-0.29;0.2
"p_AT3G52990.1";0.55;0.15;-0.01;0.42;0.42
"p_AT3G53040.1";0.78;0.31;-0.24;0.09;0.28
"p_AT3G53110.1";-0.16;-0.04;-0.49;-0.11;-0.54
"p_AT3G53970.1";-0.74;-0.16;-0.19;-0.24;-0.03
"p_AT3G54400.1";-0.32;-0.83;0.1;-0.03;0.03
"p_AT3G54470.1";0.2;0.37;-0.14;0.12;-0.25
"p_AT3G55440.1";0.09;0.36;-0.01;0.18;0.24
"p_AT3G55800.1";0.24;0.53;0.32;-0.6;0.09
"p_AT3G56070.1";-0.86;-0.07;-0.11;0.31;0.18
"p_AT3G56310.1";-0.76;-0.15;0.13;0;-0.04
"p_AT3G56350.1";0.76;-0.32;0.12;0.29;-0.31
